# Iteration newS newE bestS bestE rejectS rejectE
0 0.45787264958652374 9.866375479440679 39.47984589330416 0.45787264958652374 9.866375479440679 39.47984589330416
1 -4.882397063849539 0.2569547852436993 286.955423187435 0.45787264958652374 9.866375479440679 39.47984589330416 -4.882397063849539 0.2569547852436993 286.955423187435
2 -2.8466804635974734 14.224014220396965 7.816518502936968 -2.8466804635974734 14.224014220396965 7.816518502936968
3 5.407440804112937 3.1926419521520275 20.235665062179127 -2.8466804635974734 14.224014220396965 7.816518502936968
4 4.967463486837207 11.515260849316897 117.14745037443697 -2.8466804635974734 14.224014220396965 7.816518502936968 4.967463486837207 11.515260849316897 117.14745037443697
5 -1.508212851776046 1.4397658249459266 63.22811226955851 -2.8466804635974734 14.224014220396965 7.816518502936968
6 0.8654676773229086 7.857055679138903 26.070225398454443 -2.8466804635974734 14.224014220396965 7.816518502936968
7 -4.08471089071744 5.549317285369116 87.30077380393858 -2.8466804635974734 14.224014220396965 7.816518502936968
8 0.37347468261187844 8.119496509255768 26.20796664024811 -2.8466804635974734 14.224014220396965 7.816518502936968
9 5.156749422828774 14.608228235384829 193.15663095939212 -2.8466804635974734 14.224014220396965 7.816518502936968 5.156749422828774 14.608228235384829 193.15663095939212
10 1.3344556778011274 6.178401340181175 16.542336869416335 -2.8466804635974734 14.224014220396965 7.816518502936968
11 4.557357098741141 1.198242861817621 8.570959229509294 -2.8466804635974734 14.224014220396965 7.816518502936968
12 6.287082629621561 2.5228149686918466 21.626083569448262 -2.8466804635974734 14.224014220396965 7.816518502936968
13 9.77321576316535 1.0464315057912266 3.996130422698406 9.77321576316535 1.0464315057912266 3.996130422698406
14 7.362155683313915 9.90483479128635 88.84052805004407 9.77321576316535 1.0464315057912266 3.996130422698406
15 9.257444911096563 5.749376889923097 12.173125885664833 9.77321576316535 1.0464315057912266 3.996130422698406
16 0.011948583433050164 2.765986343765745 29.937750837345668 9.77321576316535 1.0464315057912266 3.996130422698406 0.011948583433050164 2.765986343765745 29.937750837345668
17 2.9886610928196973 11.935362111545446 91.48484315702463 9.77321576316535 1.0464315057912266 3.996130422698406 2.9886610928196973 11.935362111545446 91.48484315702463
18 8.589250885875733 8.772659136958637 51.33836059494405 9.77321576316535 1.0464315057912266 3.996130422698406
